no_grocery_stores_2009,no_convenience_stores_2009,fast_food_no_2009,snap_benefits_2010_dollars_per_capita,adult_obesity_2008_percentage,median_income_2015,SNAP_stores_2012,WIC_stores_2008,Full_service_rest_2009,diabetes_percentage_2008,soda_sales_tax_2014,FOODINSEC_10_12,Rec_facilities_count_2009,Low_access_to_store_count_2010,Low_access_to_store_no_car_count_2010,Fast_food_expenditure_per_capita,SNAP_redemption_2012_dollars_per_store,LACCESS_HISP15,LACCESS_CHILD10,REDEMP_SNAPS16,LACCESS_WHITE15,LACCESS_POP10,LACCESS_POP15,PCH_LACCESS_SENIORS_10_15,PCH_LACCESS_POP_10_15,PCH_LACCESS_LOWI_10_15
5,11,6,38,36,30,15,4,8,15,2,15,1,602,179,576,236491,335,150,138207,3179,602,7116,1278,1082.658603,1032.352003
5,10,20,18,31,38,13,4,11,10,2,15,4,2102,331,576,370179,559,425,201699,6489,2102,9423,191,348.1990735,448.4539915
3,6,11,17,31,35,14,3,9,12,2,15,1,1676,150,576,150414,17,336,131674,1615,1676,1646,-4,-1.783056997,-14.32603302
9,15,17,14,28,44,22,4,24,12,2,15,1,3546,349,576,191160,32,800,119668,2291,3546,2342,-43,-33.96505981,-32.46577821
2,5,2,21,32,44,6,1,0,12,2,15,0,2129,126,576,95464,48,508,70621,1596,2129,1839,-14,-13.62585386,-37.3319125
4,17,15,29,32,38,20,6,9,12,2,15,3,4406,389,576,398424,59,658,283629,2864,4406,4237,-17,-3.838820803,-1.966517475
4,16,9,23,30,44,20,4,13,10,2,15,2,4502,439,576,308895,78,1112,178781,3218,4502,3553,-20,-21.06400682,-32.88506297
19,28,79,19,32,42,86,15,65,10,2,15,5,24130,1009,576,303490,860,6107,217780,12014,24130,15955,-36,-33.87805495,-16.83328055
8,27,28,19,30,47,38,8,36,8,2,15,3,13071,765,576,362056,1196,3512,243823,8865,13071,10484,-24,-19.7903324,-18.46905216
11,23,35,37,36,37,63,14,19,14,2,15,2,6121,522,576,394031,130,1725,282190,3638,6121,6477,5,5.812470782,12.74379877
4,5,9,21,31,39,18,5,12,12,2,15,2,2947,290,576,270739,48,742,199702,2065,2947,2383,-19,-19.13862078,-18.93058177
2,7,4,25,34,33,9,3,4,14,2,15,0,1526,220,576,239471,66,336,148024,1715,1526,3354,125,119.7263472,87.54721851
6,10,10,35,36,31,18,4,16,13,2,15,1,3930,342,576,319991,138,1017,243827,2094,3930,4559,8,16.01242688,25.82127714
2,11,15,27,32,39,15,2,11,11,2,15,1,3526,238,576,521427,124,738,312184,2879,3526,3989,22,13.15732084,45.88410088
11,43,62,13,29,51,57,8,71,9,2,15,12,28689,1310,576,364668,861,6202,246739,15010,28689,18909,-38,-34.09152085,-38.68176594
2,8,6,21,33,42,13,3,10,11,2,15,0,1894,274,576,286218,20,434,154514,1070,1894,1180,-48,-37.67410611,-34.54468009
1,5,7,20,29,35,8,1,6,11,2,15,0,2320,129,576,154741,18,542,99475,2298,2320,2343,1,1.002358322,30.51990523
18,49,75,20,27,38,70,12,98,10,2,15,8,30262,1419,576,385001,1308,6545,256235,23831,30262,27118,-4,-10.38847522,-7.055893828
3,8,9,14,32,48,10,2,8,9,2,15,0,2120,208,576,295130,141,540,181004,1921,2120,2119,-1,-0.06328229,9.429065916
4,17,27,21,31,44,29,4,24,10,2,15,3,9286,510,576,397543,230,2537,246277,9240,9286,9621,5,3.603775206,14.49711537
8,15,12,24,33,35,16,5,11,13,2,15,2,5535,287,576,487472,646,1409,292725,3894,5535,6581,13,18.90329159,36.74812832
7,18,17,19,33,40,28,5,8,11,2,15,2,6021,311,576,235631,144,1414,190460,4692,6021,5166,-11,-14.19563584,-22.32502211
5,11,8,21,32,33,11,5,5,12,2,15,1,2028,134,576,377918,506,487,175867,4538,2028,5677,148,179.935213,182.1668162
5,12,22,16,29,38,33,9,22,10,2,15,2,6847,442,576,293238,406,1658,225625,5043,6847,5563,-19,-18.74531095,-5.821409985
4,7,3,16,27,35,18,4,6,10,2,15,1,810,160,576,100324,2,195,85953,143,810,151,-78,-81.38559714,-79.40110326
4,8,5,24,31,33,21,4,10,11,2,15,2,2483,303,576,293774,59,633,187043,1985,2483,3108,44,25.18900462,21.60264771
15,36,62,33,37,37,86,12,31,13,2,15,2,13186,577,576,370426,217,2556,271092,6285,13186,14581,11,10.58073418,3.405449847
1,13,17,20,31,36,19,2,10,10,2,15,2,2319,291,576,356941,183,519,236502,1335,2319,1503,-34,-35.19661681,-33.45574046
3,7,2,30,32,34,12,3,3,14,2,15,0,1614,275,576,83882,40,419,74510,980,1614,1616,0,0.138939469,5.97291277
5,10,4,21,32,35,22,7,9,11,2,15,0,4397,151,576,164241,59,1040,135374,5105,4397,5223,15,18.78817257,18.84506732
1,1,3,35,36,28,11,1,2,13,2,15,0,3276,345,576,275316,68,734,197805,2186,3276,4722,4,44.1696167,72.48719525
1,6,2,23,34,40,7,1,10,10,2,15,1,4853,396,576,251014,182,380,132835,2182,4853,4694,-7,-3.263782215,-18.65241705
3,7,3,20,33,39,12,5,7,12,2,15,0,863,252,576,229865,85,227,157473,1170,863,1915,157,121.8409398,38.25218299
3,14,12,25,28,38,14,4,13,10,2,15,1,3074,239,576,353653,63,747,238834,1934,3074,2070,-43,-32.65718497,-28.12445314
11,28,38,14,32,56,43,8,37,11,2,15,4,13017,623,576,281410,404,3720,165399,10452,13017,12276,-6,-5.69039067,4.653426789
3,12,2,18,29,41,7,2,9,10,2,15,1,4104,190,576,239662,56,882,198023,3674,4104,3813,-7,-7.071179516,0.567662762
4,6,6,21,30,35,11,4,12,12,2,15,0,2255,143,576,328563,61,361,232033,2180,2255,2255,0,0,22.08474833
11,26,24,24,36,39,36,6,21,14,2,15,3,10974,399,576,373997,291,2632,210150,11346,10974,14529,35,32.39100635,38.80173457
15,26,32,30,35,35,58,11,25,13,2,15,2,6002,689,576,288546,225,1755,227699,3682,6002,5863,0,-2.315649913,5.402684312
5,7,6,31,32,31,17,3,5,13,2,15,0,1020,198,576,156030,2,221,128902,658,1020,1020,0,0,1.505395373
3,8,3,18,28,38,7,2,6,11,2,15,1,2235,154,576,102776,37,464,73368,2033,2235,2109,-5,-5.62911118,13.56487983
1,9,3,25,31,36,8,1,2,13,2,15,0,2374,177,576,103501,30,530,95283,1844,2374,2632,9,10.87546172,32.09560358
3,1,1,21,31,34,8,1,7,13,2,15,0,2940,254,576,77970,58,610,57278,3485,2940,3653,28,24.26480427,40.47513284
6,12,14,28,34,38,26,7,13,13,2,15,3,7349,585,576,343415,106,1668,198324,3642,7349,6757,-7,-8.053578518,-11.79616984
1,6,1,20,29,43,6,1,1,10,2,15,0,1108,160,576,111334,18,245,112093,1439,1108,1491,40,34.60438433,21.34933578
9,9,12,50,38,28,33,5,8,14,2,15,1,8042,790,576,372469,149,2219,272914,3593,8042,10961,39,36.29792008,29.00589891
5,6,3,18,29,36,15,4,5,11,2,15,0,2201,184,576,161048,56,477,107468,2326,2201,2603,19,18.28249191,20.47450101
6,15,16,30,34,33,27,8,12,12,2,15,0,2797,238,576,264202,249,694,200237,7147,2797,8364,186,199.0572411,247.8599879
6,13,12,22,32,35,16,4,18,11,2,15,0,7612,221,576,399835,843,1910,282328,7114,7612,7940,5,4.298474154,8.590335865
7,33,55,15,31,41,33,10,36,10,2,15,4,8744,536,576,390868,932,1843,267310,7123,8744,8395,-4,-3.998687083,4.216496611
3,9,5,18,30,40,8,4,6,11,2,15,0,535,160,576,108728,34,129,89325,2939,535,3227,634,503.0697929,1126.394935
72,188,330,20,28,46,274,49,310,10,2,15,40,116978,4229,576,399809,5601,28549,256297,53323,116978,101839,-19,-12.94158412,3.042931985
6,9,11,21,30,35,12,2,11,11,2,15,2,5510,263,576,399346,118,1279,241056,5515,5510,5763,-2,4.58422745,2.958169875
6,19,12,36,35,32,37,8,15,13,2,15,2,8547,970,576,348568,316,1781,239610,2468,8547,7660,9,-10.3705327,3.089087435
15,34,47,12,30,57,61,12,38,10,2,15,10,24019,1254,576,277110,1083,6105,166250,21381,24019,23913,3,-0.439458109,-0.488648421
2,5,2,25,31,36,13,3,10,11,2,15,0,2004,126,576,223275,52,456,151363,1771,2004,1943,-5,-3.059354162,5.694574476
2,4,4,21,30,30,12,2,3,13,2,15,0,2726,228,576,108118,34,549,90603,2637,2726,2757,2,1.151773975,-13.58660603
19,60,103,19,30,41,109,18,88,10,2,15,12,17987,678,576,391525,906,4313,284078,10657,17987,12919,-26,-28.17500731,-29.73727393
4,12,8,22,33,42,20,3,5,12,2,15,1,5789,210,576,280660,988,1757,195535,2682,5789,4002,-28,-30.86976853,-43.78166219
3,8,10,21,27,32,14,4,17,11,2,15,1,3570,295,576,366504,59,646,323378,3768,3570,3878,7,8.642187904,15.2790431
2,6,8,19,30,32,9,3,9,11,2,15,0,3035,300,576,316002,50,677,247636,3017,3035,3116,2,2.651154351,9.791322346
10,42,24,27,30,42,41,6,24,11,2,15,2,9035,801,576,323107,393,2208,268369,6072,9035,10944,15,21.12777987,20.53174418
3,14,5,20,29,38,10,4,9,11,2,15,1,2223,417,576,389160,61,462,227624,1701,2223,1775,-18,-20.1706957,-5.994079482
26,72,155,15,27,46,145,23,191,8,2,15,20,40441,1309,576,302718,4759,10622,162741,23218,40441,29544,-32,-26.9461446,-16.9744284
15,37,49,16,29,43,60,13,44,9,2,15,5,11024,886,576,298995,412,2780,209503,8398,11024,9452,-12,-14.26130868,-10.14375939
2,3,3,32,32,31,8,3,2,12,2,15,0,387,249,576,231975,6,72,132246,337,387,382,3,-1.312514679,7.134356639
4,9,10,17,33,37,18,4,15,12,2,15,0,1670,229,576,266993,299,330,146695,2630,1670,2856,78,70.96848163,57.55675947
359,300,1072,10,20,81,870,122,1303,8,7,16,146,160425,2449,761,256579,13584,38405,216304,54934,160425,107964,-28,-32.70097562,-37.50253972
0,0,2,17,25,51,0,0,0,8,7,16,0,653,7,761,0,24,114,0,524,653,575,-12,-11.86543452,-3.952941733
13,20,17,10,25,56,30,8,41,9,7,16,5,4760,366,761,245695,1242,352,203341,4058,4760,5338,26,12.13021952,13.37315164
51,59,150,15,24,45,193,31,122,8,7,16,17,48749,1836,761,272449,5104,10506,257368,39335,48749,46598,-3,-4.412114972,3.030790842
10,23,24,13,24,52,31,9,42,7,7,16,7,3907,422,761,156720,527,870,120755,4043,3907,4578,19,17.16909589,27.97464599
11,14,12,10,25,51,21,7,13,8,7,16,0,1771,129,761,67731,517,406,52101,1311,1771,1771,0,0,10.03327085
192,198,608,8,25,83,491,84,667,7,7,16,128,206022,2952,761,274385,34021,47923,233121,139112,206022,200374,-2,-2.741192716,9.798921193
8,8,16,25,29,39,27,6,19,8,7,16,1,7755,263,761,307468,1277,1789,309280,6861,7755,9166,18,18.18959998,37.03501817
33,54,110,8,20,76,90,17,162,7,7,16,17,50566,1069,761,193477,6081,12414,155368,45782,50566,52705,-1,4.231673868,27.44029831
